case_id,root_cause,osi_layer,confidence,evidence,next_command,fix_steps,concept_tag,human_review_required
C017,R1 has no static or default route toward 172.16.0.0/16 via R2.,Layer 3,high,"show ip route lists only directly connected 192.168.10.0/24, 192.168.20.0/24, and 10.0.0.0/30; no entry for 172.16.0.0/16",ping 10.0.0.2 (R2's serial IP),Confirm R2 is reachable via 10.0.0.2; add ip route 172.16.0.0 255.255.0.0 10.0.0.2 on R1; verify with show ip route 172.16.0.0,missing_static_route,True
C018,"R1 and R3 are configured with mismatched OSPF areas (area 0 vs. area 1) on the same link, preventing adjacency.",Layer 3,high,R1: network 10.1.1.0 0.0.0.3 area 0; R3: network 10.1.1.0 0.0.0.3 area 1,show ip ospf interface brief,Correct R3's OSPF network statement to area 0 to match R1; verify with show ip ospf neighbor on both routers,ospf_area_mismatch,True
C019,"The static route to 192.168.50.0/24 uses next-hop 10.0.0.5, which is unreachable, black-holing return traffic.",Layer 3,high,show ip route static: S 192.168.50.0/24 via 10.0.0.5; ping 10.0.0.5 times out,show cdp neighbors (to find the correct current next-hop),Identify the correct current next-hop for 192.168.50.0/24; update the static route; remove the stale route pointing to 10.0.0.5,wrong_next_hop,True
C020,"R4 and R5 are load-balancing across two equal-cost paths to 192.168.60.0/24; this is expected EIGRP unequal/equal-cost behavior, not a fault.",Layer 3,medium,show ip eigrp topology lists 2 successors with identical FD (28160/28160),show ip eigrp topology all-links,No action needed if both paths are intentionally redundant; monitor for packet loss,eigrp_equal_cost_load_balance,True
C021,"ACL BLOCK_VLAN30 explicitly denies VLAN 30-to-VLAN 10 traffic and is applied outbound on the VLAN 30 sub-interface, blocking the file server as configured.",Layer 3/4,high,show access-lists: deny ip 192.168.30.0 0.0.0.255 192.168.10.0 0.0.0.255; outgoing access list on Gi0/0.30 is BLOCK_VLAN30,show run | section BLOCK_VLAN30 (to confirm intended scope),"Confirm with the requester whether this deny is intentional; if the file server should be reachable, add a specific permit for the file server IP above the deny line",acl_deny_rule,True
C022,"ACL SERVER_ACCESS only permits TCP 80/443 to the server; port 22 (SSH) was never added, so it falls through to the deny-all.",Layer 4,high,"show access-lists SERVER_ACCESS: permits tcp eq 80 and eq 443 only, then deny ip any any log",show access-lists SERVER_ACCESS (hit counters),Add a permit line: permit tcp host <admin-PC> host 192.168.10.20 eq 22 above the deny statement; verify SSH access,acl_missing_permit,True
C023,ACL MGMT_ONLY only has one permit line for SSH from 10.0.0.10; everything else silently hits the implicit deny ip any any.,Layer 3/4,high,show access-lists MGMT_ONLY shows a single permit tcp host 10.0.0.10 any eq 22 line and nothing else,show access-lists MGMT_ONLY (hit counters),Add the necessary permit statements for all legitimate traffic types before the implicit deny; consider ending with an explicit deny ip any any log for visibility,acl_implicit_deny,True
C024,Guest VLAN 50 devices are not properly isolated at Layer 2; the switchport configuration needs to be checked for VLAN leakage.,Layer 2,low,No switchport-level evidence was provided to support a Layer 2 conclusion,show vlan brief,Verify VLAN 50 port assignments across all guest access points,vlan_leakage,True
C025,"'ip nat outside' is missing on the ISP-facing interface (Gi0/1), so NAT never triggers for outbound traffic.",Layer 3,high,show run | section ip nat shows ip nat inside on Gi0/0.10 but no ip nat outside statement anywhere in the output,show ip nat translations,Enter interface Gi0/1; run ip nat outside; verify translations appear with show ip nat translations after a client generates traffic,nat_outside_missing,True
C026,"NAT access-list 1 only covers 192.168.10.0/25 due to an incorrect wildcard mask, excluding the .128-.255 half of the subnet from translation.",Layer 3,high,"show access-lists 1: permit 192.168.10.0 0.0.0.127 (a /25 wildcard, not /24's 0.0.0.255)",show ip nat translations,Correct the wildcard mask to 0.0.0.255 to cover the full /24 subnet; verify with show access-lists 1 and test a host in the .128-.255 range,nat_acl_wildcard_error,True
C027,"Static NAT forwards external port 80 to internal port 8080, but the server listens on port 80 internally, causing a port mismatch.",Layer 4,high,ip nat inside source static tcp 192.168.10.20 8080 203.0.113.10 80,show ip nat translations (during a test connection),"Correct the static NAT rule to map internal port 80 (not 8080) to external port 80, or reconfigure the web server's listening port to match the NAT rule",nat_port_mismatch,True
C028,"Client VLAN 99 mapped to the Corp-WiFi WLAN is not trunked to the AP's switchport, so authentication succeeds but the client can't reach a usable VLAN.",Layer 2,high,wlan Corp-WiFi ... client vlan 99; no confirmation VLAN 99 is trunked to the AP's uplink switchport,show interfaces trunk (on the AP's upstream switchport),"Confirm VLAN 99 exists and is allowed on the trunk to the AP; if VLAN 99 is not the intended client VLAN, remap the WLAN to the correct VLAN",wireless_vlan_mapping,True
C029,AP1's radio hardware is likely failing intermittently and should be replaced.,Layer 1,medium,Edge-of-coverage clients drop frequently; no specific hardware error was cited beyond general symptom description,show controllers dot11Radio 0 (error counters),Swap AP1 with a known-good unit to rule out a hardware fault,ap_hardware_fault,True
C030,"The WLAN-to-VLAN mapping for the guest SSID is likely misconfigured, placing guest clients into VLAN 10 instead of VLAN 50.",Layer 2,medium,No VLAN mapping evidence was directly inspected in this response,show wlan (VLAN mapping) on the WLC,Re-verify the guest SSID's VLAN mapping and correct it to VLAN 50 if wrong,wireless_vlan_mapping,True
